Scenario,Month,Total_Users,Free_Users,Pro_Users,Enterprise_Users,Free_Tx_Volume,Pro_Tx_Volume,Enterprise_Tx_Volume,Total_Tx_Volume,Free_Tx_Revenue,Pro_Tx_Revenue,Enterprise_Tx_Revenue,Pro_Subscription_Revenue,Enterprise_Subscription_Revenue,Total_Monthly_Revenue,Cumulative_Revenue
Conservative,1,10,8,1,0,12000,2250.0,0,14250.0,90.0,7.875,0.0,49,0,146.875,146.875
Conservative,2,11,8,1,0,12000,2250.0,0,14250.0,90.0,7.875,0.0,49,0,146.875,293.75
Conservative,3,12,9,2,0,13500,4500.0,0,18000.0,101.25,15.75,0.0,98,0,215.0,508.75
Conservative,4,13,10,2,0,15000,4500.0,0,19500.0,112.5,15.75,0.0,98,0,226.25,735.0
Conservative,5,14,11,2,0,16500,4500.0,0,21000.0,123.75,15.75,0.0,98,0,237.5,972.5
Conservative,6,16,12,2,0,18000,4500.0,0,22500.0,135.0,15.75,0.0,98,0,248.75,1221.25
Conservative,7,18,14,3,0,21000,6750.0,0,27750.0,157.5,23.625,0.0,147,0,328.125,1549.375
Conservative,8,20,16,3,0,24000,6750.0,0,30750.0,180.0,23.625,0.0,147,0,350.625,1900.0
Conservative,9,23,18,4,0,27000,9000.0,0,36000.0,202.5,31.5,0.0,196,0,430.0,2330.0
Conservative,10,26,20,4,0,30000,9000.0,0,39000.0,225.0,31.5,0.0,196,0,452.5,2782.5
Conservative,11,29,23,5,0,34500,11250.0,0,45750.0,258.75,39.375,0.0,245,0,543.125,3325.625
Conservative,12,33,26,5,0,39000,11250.0,0,50250.0,292.5,39.375,0.0,245,0,576.875,3902.5
Realistic,1,25,17,6,1,68000,36000.0,20000,124000.0,510.0,126.0,40.0,294,750,1720.0,1720.0
Realistic,2,31,21,7,1,84000,42000.0,20000,146000.0,630.0,147.0,40.0,343,750,1910.0,3630.0
Realistic,3,38,26,9,1,104000,54000.0,20000,178000.0,780.0,189.0,40.0,441,750,2200.0,5830.0
Realistic,4,47,32,11,2,128000,66000.0,40000,234000.0,960.0,231.0,80.0,539,1500,3310.0,9140.0
Realistic,5,58,40,14,2,160000,84000.0,40000,284000.0,1200.0,294.0,80.0,686,1500,3760.0,12900.0
Realistic,6,72,50,18,3,200000,108000.0,60000,368000.0,1500.0,378.0,120.0,882,2250,5130.0,18030.0
Realistic,7,90,62,22,4,248000,132000.0,80000,460000.0,1860.0,462.0,160.0,1078,3000,6560.0,24590.0
Realistic,8,112,78,28,5,312000,168000.0,100000,580000.0,2340.0,588.0,200.0,1372,3750,8250.0,32840.0
Realistic,9,140,98,35,7,392000,210000.0,140000,742000.0,2940.0,735.0,280.0,1715,5250,10920.0,43760.0
Realistic,10,175,122,43,8,488000,258000.0,160000,906000.0,3660.0,903.0,320.0,2107,6000,12990.0,56750.0
Realistic,11,218,152,54,10,608000,324000.0,200000,1132000.0,4560.0,1134.0,400.0,2646,7500,16240.0,72990.0
Realistic,12,272,190,68,13,760000,408000.0,260000,1428000.0,5700.0,1428.0,520.0,3332,9750,20730.0,93720.0
Optimistic,1,50,30,15,5,288000,216000.0,240000,744000.0,2160.0,756.0,480.0,735,5000,9131.0,9131.0
Optimistic,2,67,40,20,6,384000,288000.0,288000,960000.0,2880.0,1008.0,576.0,980,6000,11444.0,20575.0
Optimistic,3,90,54,27,9,518400,388800.0,432000,1339200.0,3888.0,1360.8,864.0,1323,9000,16435.8,37010.8
Optimistic,4,121,72,36,12,691200,518400.0,576000,1785600.0,5184.0,1814.4,1152.0,1764,12000,21914.4,58925.200000000004
Optimistic,5,163,97,48,16,931200,691200.0,768000,2390400.0,6984.0,2419.2000000000003,1536.0,2352,16000,29291.2,88216.40000000001
Optimistic,6,220,132,66,22,1267200,950400.0,1056000,3273600.0,9504.0,3326.4,2112.0,3234,22000,40176.4,128392.80000000002
Optimistic,7,297,178,89,29,1708800,1281600.0,1392000,4382400.0,12816.0,4485.6,2784.0,4361,29000,53446.6,181839.40000000002
Optimistic,8,400,240,120,40,2304000,1728000.0,1920000,5952000.0,17280.0,6048.0,3840.0,5880,40000,73048.0,254887.40000000002
Optimistic,9,540,324,162,54,3110400,2332800.0,2592000,8035200.0,23328.0,8164.8,5184.0,7938,54000,98614.8,353502.2
Optimistic,10,729,437,218,72,4195200,3139200.0,3456000,10790400.0,31464.0,10987.2,6912.0,10682,72000,132045.2,485547.4
Optimistic,11,984,590,295,98,5664000,4248000.0,4704000,14616000.0,42480.0,14868.0,9408.0,14455,98000,179211.0,664758.4
Optimistic,12,1328,796,398,132,7641600,5731200.0,6336000,19708800.0,57312.0,20059.2,12672.0,19502,132000,241545.2,906303.6000000001
